Text	Label
Hey. Are you free on Tuesday? Yes. Do you want to go rafting? Sure! Where should we meet? How about the theme park? OK! See you there!	[[15, 18], [7, 7], [0, 0], [29, 31]]
Hey. Are you free on Friday? Sorry, I have plans already. How about on Tuesday? I'm busy on on Tuesday too. That's fine, next time then. Ok. 	[[0, 0], [0, 0], [0, 0], [0, 0]]
Sup! Sup. Would you want to go rafting on Saturday? Sure! When should we meet? Are you free at 7 pm? Ok. Where should we meet? How about Xinyi? Sure! See you on Saturday!	[[11, 14], [16, 16], [29, 30], [41, 43]]
Yo, what's up? Nothing much. Let's watch a movie on Thursday? OK! When? Let's do 4 am? Sorry, I'm busy. Are you free at 11 am? Sounds good. Where should we go? I don't know. How about Xinyi or the theme park? Sounds good. I prefer the theme park. OK! See you on Thursday!	[[14, 16], [18, 18], [42, 43], [65, 67]]
Yo, what's up? Nothing much. Do you want to grab lunch on Thursday? Sounds good. What time? 7 am? Great. Where? How about the zoo? Ok. See you on Thursday!	[[15, 16], [18, 18], [26, 27], [35, 36]]
Sup! Sup. You free on Friday? Sorry, I have plans already. How about on Thursday? I'm busy on on Thursday too. That's fine, next time then. Great. 	[[0, 0], [0, 0], [0, 0], [0, 0]]
Yo, what's up? Nothing much. Let's go to a party on Saturday? OK! Where? How about a bar? Sounds good. When should we meet? You free 6 pm? Sorry, I have an appointment. You free 10 am? Sure! See you then!	[[14, 17], [19, 19], [52, 53], [27, 28]]
Hey! Let's go bowling on Monday? Sure! Where should we meet? How about the Italian restaurant? OK! When? 2 pm? Sorry, I have an appointment. You free 10 am? OK! See you there!	[[6, 7], [9, 9], [40, 41], [20, 22]]
Yo, what's up? Nothing much. Do you want to go somewhere on Sunday? I can't on Sunday. How about today? OK! What time should we meet? 6 am? Great. See you then!	[[15, 16], [29, 29], [39, 40], [0, 0]]
Hey! Let's catch up on Wednesday? Sure! When? You free 10 am? Great. Where should we meet? How about the train station? Sure. I forgot, I can't 10 am. You free 7 am? Great. See you then!	[[6, 7], [9, 9], [47, 48], [29, 31]]
Sup! Sup. Do you want to go ice skating on Thursday? Great. Where do you want to go? How about the mall? Sure! What time should we meet? You free 5 pm? Sorry, I can't. Are you free at 8 am? Sounds good. See you on Thursday!	[[11, 13], [15, 15], [55, 56], [28, 29]]
Hey! Do you want to see a concert on Saturday? OK! When? 5 pm? Sorry, I'm busy. Let's do 4 am? Sure. Where should we meet? I don't know. How about the Japanese place or school? Sure. Let's do school. OK! See you then!	[[7, 9], [11, 11], [31, 32], [53, 53]]
Hey! Let's catch up on Monday? Ok. When? Are you free at 7 pm? Ok. Where should we meet? How about the zoo? Sure. See you on Monday!	[[6, 7], [9, 9], [19, 20], [31, 32]]
Yo, what's up? Nothing much. Do you want to watch a movie on Friday? Great. What time should we meet? Let's do 8 am? Great. Where? How about a club? OK! I forgot, I'm busy 8 am. Are you free at 12 pm? Sure! See you there!	[[15, 17], [19, 19], [61, 62], [42, 43]]
Yo, what's up? Nothing much. Would you want to grab lunch today? Ok. What time? How about 10 am? Sorry, I have an appointment. Let's do 4 pm? Sounds good. Where? I don't know. How about a coffee shop or Daan Park? Sounds good. I prefer a coffee shop. Sounds good. See you today!	[[15, 16], [17, 17], [40, 41], [56, 58]]
Hey! Would you want to go rafting on Friday? I can't on Friday. How about on Thursday? Sure! When? 4 pm? Sure! See you then!	[[7, 10], [24, 24], [30, 31], [0, 0]]
Sup! Sup. Let's see a play tomorrow? OK! When? 3 pm? Sorry, I can't. Let's do 12 pm? Sure! Where? I don't know. How about the zoo or a club? Sure! I prefer a club. OK! See you there!	[[10, 12], [13, 13], [33, 34], [51, 52]]
Sup! Sup. You free on Saturday? Yes. Let's see a concert? Sure! Where? How about a bar? Sure! See you there!	[[17, 19], [10, 10], [0, 0], [27, 28]]
Sup! Sup. Would you want to grab coffee on Wednesday? Sounds good. Where? I don't know. How about your place? Or a coffee shop? Sounds good. Let's do your place. When? Are you free at 7 am? Sorry, I'm busy. You free 12 pm? OK! See you n!	[[11, 12], [14, 14], [65, 66], [29, 30]]
Hey, how are you doing? I’m good, and you? I’m fine, thanks. You free tomorrow? Yes. Let's see a concert? OK! Where should we go? How about a club? Ok. See you tomorrow!	[[32, 34], [25, 25], [0, 0], [45, 46]]
Hey! Would you want to go rafting on Friday? Sure! When? How about 6 pm? Sounds good. Where? How about a bar? OK! I forgot, I have an appointment 6 pm. How about 6 am? Ok. See you there!	[[7, 10], [12, 12], [47, 48], [30, 31]]
Hey. Would you want to bake on Sunday? Ok. Where do you want to go? How about the train station? Ok. What time? 5 pm? Sorry, I can't. How about 3 pm? Sure! See you there!	[[7, 8], [10, 10], [44, 45], [23, 25]]
Hey, how are you doing? I’m good, and you? I’m fine, thanks. Do you want to catch up on Thursday? Ok. What time should we meet? How about 4 pm? OK! Where? How about the mall? Sure! Sorry, I'm busy 4 pm. Are you free at 8 pm? Ok. See you then!	[[27, 28], [30, 30], [69, 70], [51, 52]]
Hey! Let's see a movie on Sunday? Ok. Where should we meet? I don't know. How about a coffee shop? Or the mall? Great. Let's do the mall. What time should we meet? You free 4 am? Sorry, I have an appointment. You free 6 am? Ok. See you n!	[[6, 8], [10, 10], [64, 65], [32, 33]]
