Text	Label
"[""Sup! Sup. Let's see a play on Friday? Ok. Where should we meet? I don't know. How about the theme park? Sure! When? 9 pm? Sorry, I can't. How about 11 pm? Sure. See you then!""]"	[[10, 12], [13, 14], [51, 52], [31, 33]]
"[""Hey. Would you want to go somewhere on Wednesday? Sounds good. Where should we meet? I don't know. How about my place? Ok. What time? You free 7 am? Sorry, I can't. You free 8 pm? Sounds good. See you then!""]"	[[7, 8], [9, 10], [50, 51], [28, 29]]
"[""Yo, what's up? Nothing much. Let's go to a party on Monday? Ok. Where do you want to go? I don't know. How about the train station? Ok. What time? How about 9 am? Sorry, I can't. How about 11 am? Sure. See you then!""]"	[[14, 17], [18, 19], [61, 62], [38, 40]]
"[""Yo, what's up? Nothing much. Would you want to go somewhere on Friday? Sounds good. Where? I don't know. How about a coffee shop? Sounds good. When should we meet? How about 8 am? Sorry, I can't. You free 4 am? Sure. See you then!""]"	[[15, 16], [17, 18], [59, 60], [33, 35]]
"[""Hey, how are you doing? I’m good, and you? I’m fine, thanks. Let's see a concert on Saturday? OK! Where do you want to go? I don't know. How about the theme park? Sure! What time? 11 pm? Sorry, I can't. How about 3 pm? Sure. See you then!""]"	[[26, 28], [29, 30], [70, 71], [49, 51]]
"[""Hey, how are you doing? I’m good, and you? I’m fine, thanks. Do you want to see a play on Monday? Ok. Where should we go? I don't know. How about the mall? Sure! What time? Let's do 12 pm? Sorry, I can't. You free 5 pm? Sure! See you then!""]"	[[27, 29], [30, 31], [72, 73], [48, 49]]
"[""Hey. Would you want to ice skating on Sunday? Sounds good. Where should we meet? I don't know. How about the Japanese place? Sure! When? Let's do 8 am? Sorry, I can't. Let's do 1 pm? OK! See you then!""]"	[[7, 8], [9, 10], [54, 55], [28, 30]]
"[""Hey. Let's see a play on Tuesday? Sure. Where? I don't know. How about the train station? Sure. When should we meet? You free 1 pm? Sorry, I can't. How about 1 am? Sounds good. See you then!""]"	[[6, 8], [9, 10], [49, 50], [24, 26]]
"[""Yo, what's up? Nothing much. Let's go somewhere on Friday? Great. Where should we go? I don't know. How about a coffee shop? Ok. What time? How about 7 am? Sorry, I can't. 4 pm? OK! See you then!""]"	[[14, 15], [16, 17], [55, 56], [34, 36]]
"[""Heyo! Would you want to see a game tomorrow? Great. Where should we meet? I don't know. How about the Italian restaurant? Sure. When? Let's do 5 am? Sorry, I can't. You free 1 pm? Sure. See you then!""]"	[[8, 10], [11, 11], [52, 53], [28, 30]]
"[""Heyo! Let's do something on Thursday? Sounds good. Where should we meet? I don't know. How about your place? Ok. When should we meet? Let's do midnight, noon? Sorry, I can't. 11 pm? Sure! See you then!""]"	[[7, 8], [9, 10], [53, 54], [28, 29]]
"[""Heyo! Would you want to go somewhere on Tuesday? Great. Where do you want to go? I don't know. How about the mall? OK! When? 6 am? Sorry, I can't. You free 3 am? Sure! See you then!""]"	[[8, 9], [10, 11], [49, 50], [30, 31]]
"[""Hey, how are you doing? I’m good, and you? I’m fine, thanks. Let's watch a movie on Saturday? Sounds good. Where? I don't know. How about the train station? Sounds good. When should we meet? 5 am? Sorry, I can't. 11 pm? Sounds good. See you then!""]"	[[26, 28], [29, 30], [67, 68], [45, 47]]
"[""Heyo! Would you want to catch up on Saturday? Ok. Where should we meet? I don't know. How about Daan Park? Great. When should we meet? You free midnight, noon? Sorry, I can't. 8 am? Ok. See you then!""]"	[[8, 9], [10, 11], [52, 53], [28, 30]]
"[""Hey, how are you doing? I’m good, and you? I’m fine, thanks. Let's go bowling on Saturday? Sure. Where should we go? I don't know. How about my place? Sure! What time? 3 am? Sorry, I can't. midnight, noon? Sure. See you then!""]"	[[26, 27], [28, 29], [64, 66], [46, 47]]
"[""Hey, how are you doing? I’m good, and you? I’m fine, thanks. Do you want to go swimming on Saturday? Sounds good. Where? I don't know. How about the Italian restaurant? Ok. What time? How about 6 am? Sorry, I can't. Let's do midnight, noon? Sure! See you then!""]"	[[27, 28], [29, 30], [70, 72], [45, 47]]
"[""Yo, what's up? Nothing much. Do you want to see a play on Sunday? Sounds good. Where do you want to go? I don't know. How about the Italian restaurant? Great. What time? 9 am? Sorry, I can't. Let's do 8 am? OK! See you then!""]"	[[15, 17], [18, 19], [62, 63], [39, 41]]
"[""Sup! Sup. Would you want to go to a party on Thursday? OK! Where do you want to go? I don't know. How about your place? Sounds good. What time? 7 am? Sorry, I can't. Let's do 4 am? Great. See you then!""]"	[[11, 14], [15, 16], [58, 59], [35, 36]]
"[""Hey. Do you want to go somewhere on Wednesday? OK! Where do you want to go? I don't know. How about Daan Park? OK! When? You free 2 am? Sorry, I can't. How about 8 am? Sure. See you then!""]"	[[7, 8], [9, 10], [51, 52], [29, 31]]
"[""Sup! Sup. Let's see a game on Wednesday? Sure! Where should we go? I don't know. How about the theme park? Sure. When should we meet? 8 pm? Sorry, I can't. You free 2 pm? Sure. See you then!""]"	[[10, 12], [13, 14], [54, 55], [31, 33]]
"[""Yo, what's up? Nothing much. Do you want to bake today? Great. Where should we meet? I don't know. How about a coffee shop? Sure. When should we meet? How about 2 am? Sorry, I can't. You free 2 pm? Great. See you then!""]"	[[15, 16], [17, 17], [59, 60], [34, 36]]
"[""Heyo! Would you want to go swimming on Wednesday? Sure. Where? I don't know. How about Daan Park? Great. When should we meet? 3 am? Sorry, I can't. How about 9 pm? Sounds good. See you then!""]"	[[8, 9], [10, 11], [48, 49], [25, 27]]
"[""Hey. Would you want to go to a party on Wednesday? Sure! Where should we go? I don't know. How about the Italian restaurant? Sounds good. What time? Let's do 8 pm? Sorry, I can't. 2 am? Sure! See you then!""]"	[[7, 10], [11, 12], [53, 54], [29, 31]]
"[""Yo, what's up? Nothing much. Would you want to ice skating on Wednesday? Ok. Where do you want to go? I don't know. How about the mall? Sounds good. When? You free 9 am? Sorry, I can't. Let's do 5 am? Great. See you then!""]"	[[15, 16], [17, 18], [61, 62], [37, 38]]
"[""Hey, how are you doing? I’m good, and you? I’m fine, thanks. Would you want to ice skating on Friday? Sure! Where? I don't know. How about the Italian restaurant? Sounds good. When should we meet? You free 8 pm? Sorry, I can't. How about 7 pm? Ok. See you then!""]"	[[27, 28], [29, 30], [70, 71], [44, 46]]
"[""Sup! Sup. Would you want to ice skating tomorrow? Great. Where? I don't know. How about the Japanese place? Sounds good. When? 8 am? Sorry, I can't. Let's do 11 am? Sure. See you then!""]"	[[11, 12], [13, 13], [50, 51], [27, 29]]
"[""Sup! Sup. Let's see a concert tomorrow? OK! Where do you want to go? I don't know. How about Daan Park? Ok. What time? You free 11 am? Sorry, I can't. 5 pm? Ok. See you then!""]"	[[10, 12], [13, 13], [53, 54], [32, 34]]
